,Country_Name,Indicator_Name,Region,Income_Group,Year,Value
653,Algeria,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,2001,
654,Andorra,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2001,
655,Argentina,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,13.8027401
656,Armenia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,2001,
657,Aruba,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,2001,12.19361019
658,Australia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,2001,
659,Austria,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,22.48955917
660,Bahrain,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,2001,
661,Bangladesh,Government expenditure per primary student as % of GDP per capita (%),South Asia,Low income,2001,
662,Barbados,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,2001,19.34358978
663,Belgium,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,17.75477982
664,Belize,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,
665,Benin,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,12.17354965
666,Bermuda,Government expenditure per primary student as % of GDP per capita (%),North America,High income: nonOECD,2001,
667,Bhutan,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,2001,
668,Bolivia,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,2001,
669,Bosnia and Herzegovina,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,2001,
670,Botswana,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,2001,
671,Brazil,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,10.43247032
672,British Virgin Islands,Government expenditure per primary student as % of GDP per capita (%),,,2001,
673,Brunei Darussalam,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,2001,
674,Bulgaria,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,2001,15.12279034
675,Burkina Faso,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
676,Burundi,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,10.77070999
677,Cabo Verde,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2001,
678,Cambodia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Low income,2001,6.56483984
679,Cameroon,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2001,
680,Central African Republic,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
681,Chad,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
682,Channel Islands,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2001,
683,Chile,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: OECD,2001,
684,China,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,2001,
685,Colombia,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,13.20403004
686,Comoros,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
687,"Congo, Dem. Rep.",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
688,"Congo, Rep.",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2001,
689,Costa Rica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,15.00996017
690,Cote d'Ivoire,Government expenditure per primary student as % of GDP per capita (%),,,2001,12.76088047
691,Cuba,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,28.84300041
692,Cyprus,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2001,17.29220009
693,Czech Republic,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,10.20573044
694,Denmark,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,24.80681992
695,Djibouti,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Lower middle income,2001,
696,Dominica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,
697,Dominican Republic,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,
698,Ecuador,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,
699,El Salvador,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,2001,
700,Equatorial Guinea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,High income: nonOECD,2001,
701,Eritrea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,13.14013004
702,Estonia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,18.2333107
703,Ethiopia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
704,Fiji,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,2001,
705,Finland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,16.73011017
706,France,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,17.43757057
707,"Gambia, The",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,4.666989803
708,Georgia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,2001,
709,Germany,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,
710,Ghana,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2001,17.53956985
711,Guatemala,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,2001,8.723830223
712,Guinea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
713,Guyana,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,2001,
714,"Hong Kong SAR, China",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,2001,12.18348026
715,Hungary,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,2001,19.58234024
716,Iceland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,21.01991081
717,India,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,2001,13.45489025
718,Indonesia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2001,
719,"Iran, Islamic Rep.",Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,2001,8.677559853
720,Ireland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,11.39237976
721,Israel,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: OECD,2001,21.83797073
722,Italy,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,22.79092026
723,Jamaica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,
724,Japan,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,2001,20.87829018
725,Jordan,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,2001,
726,Kenya,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,20.76033974
727,Kiribati,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2001,22.51940918
728,"Korea, Rep.",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,2001,14.88976955
729,Kuwait,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,2001,16.8737793
730,Lao PDR,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2001,
731,Latvia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2001,18.7697506
732,Lesotho,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2001,22.52680016
733,Liechtenstein,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2001,
734,Lithuania,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2001,
735,Luxembourg,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,
736,"Macao SAR, China",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,2001,
737,Madagascar,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
738,Malawi,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,8.020589828
739,Malaysia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,2001,16.40896034
740,Maldives,Government expenditure per primary student as % of GDP per capita (%),South Asia,Upper middle income,2001,
741,Mali,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
742,Malta,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,2001,
743,Mauritania,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2001,
744,Mauritius,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,2001,9.307860374
745,Mexico,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,12.24987984
746,Moldova,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,2001,
747,Monaco,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2001,
748,Mongolia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2001,
749,Morocco,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Lower middle income,2001,16.17901993
750,Mozambique,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
751,Namibia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,2001,19.80586052
752,Nepal,Government expenditure per primary student as % of GDP per capita (%),South Asia,Low income,2001,13.45213032
753,Netherlands,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,15.4168396
754,New Caledonia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,2001,
755,New Zealand,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,2001,19.75130081
756,Nicaragua,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,2001,
757,Niger,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
758,Norway,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,
759,Oman,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,2001,10.93797016
760,Pakistan,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,2001,
761,Panama,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,10.37125015
762,Paraguay,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,2001,10.66740036
763,Peru,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,7.199200153
764,Philippines,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2001,11.20298004
765,Poland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,
766,Portugal,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,20.90473938
767,Romania,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,2001,
768,Rwanda,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
769,Samoa,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2001,8.639109612
770,San Marino,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2001,
771,Sao Tome and Principe,Government expenditure per primary student as % of GDP per capita (%),,,2001,
772,Saudi Arabia,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,2001,
773,Senegal,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2001,
774,Serbia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,2001,
775,Seychelles,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,2001,
776,Sierra Leone,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
777,Singapore,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,2001,
778,Sint Maarten (Dutch part),Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,2001,
779,Slovak Republic,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,10.5203104
780,Slovenia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,25.65302086
781,Solomon Islands,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2001,
782,Somalia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
783,South Africa,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,2001,13.49526978
784,South Asia,Government expenditure per primary student as % of GDP per capita (%),0,0,2001,
785,South Sudan,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2001,
786,Spain,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,17.48641968
787,Sri Lanka,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,2001,
788,St. Kitts and Nevis,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,2001,
789,St. Lucia,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,
790,St. Martin (French part),Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,2001,
791,St. Vincent and the Grenadines,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,
792,Swaziland,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2001,7.873260021
793,Sweden,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,20.67893028
794,Switzerland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,21.0134697
795,Syrian Arab Republic,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Lower middle income,2001,
796,Tanzania,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
797,Thailand,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,2001,16.26625061
798,Timor-Leste,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2001,
799,Togo,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,10.95580006
800,Tonga,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,2001,
801,Trinidad and Tobago,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,2001,11.36221981
802,Tunisia,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,2001,14.43939972
803,Turkey,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,2001,
804,Uganda,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
805,Ukraine,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,2001,
806,United Arab Emirates,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,2001,
807,United Kingdom,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2001,13.37034988
808,United States,Government expenditure per primary student as % of GDP per capita (%),North America,High income: OECD,2001,19.90920067
809,Uruguay,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,2001,9.630249977
810,Vanuatu,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2001,12.93523979
811,"Venezuela, RB",Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2001,
812,Vietnam,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2001,
813,Zambia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2001,
814,Zimbabwe,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2001,
815,Afghanistan,Government expenditure per primary student as % of GDP per capita (%),South Asia,Low income,2002,
816,Algeria,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,2002,11.03452969
817,Andorra,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2002,7.964179993
818,Argentina,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2002,10.76552963
819,Armenia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,2002,
820,Aruba,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,2002,13.78536987
821,Australia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,2002,
822,Austria,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,22.90686035
823,Bahrain,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,2002,
824,Bangladesh,Government expenditure per primary student as % of GDP per capita (%),South Asia,Low income,2002,
825,Barbados,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: nonOECD,2002,17.71286964
826,Belgium,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,17.92588043
827,Belize,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2002,
828,Benin,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,10.24732018
829,Bermuda,Government expenditure per primary student as % of GDP per capita (%),North America,High income: nonOECD,2002,
830,Bhutan,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,2002,
831,Bolivia,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,2002,15.76895046
832,Bosnia and Herzegovina,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,2002,
833,Botswana,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,2002,
834,Brazil,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2002,9.881310463
835,British Virgin Islands,Government expenditure per primary student as % of GDP per capita (%),,,2002,
836,Brunei Darussalam,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,2002,
837,Bulgaria,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,2002,15.35628986
838,Burkina Faso,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,
839,Burundi,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,11.28680992
840,Cabo Verde,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2002,17.49892044
841,Cambodia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Low income,2002,5.135149956
842,Cameroon,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2002,
843,Central African Republic,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,
844,Chad,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,
845,Channel Islands,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2002,
846,Chile,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,High income: OECD,2002,14.93939972
847,China,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,2002,
848,Colombia,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2002,
849,Comoros,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,9.519720078
850,"Congo, Dem. Rep.",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,
851,"Congo, Rep.",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2002,7.036429882
852,Costa Rica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2002,16.3427906
853,Cote d'Ivoire,Government expenditure per primary student as % of GDP per capita (%),,,2002,
854,Cuba,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2002,37.2024498
855,Cyprus,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2002,18.11090088
856,Czech Republic,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,10.81844044
857,Denmark,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,23.97886086
858,Djibouti,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Lower middle income,2002,
859,Dominica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2002,
860,Dominican Republic,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2002,7.806009769
861,Ecuador,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2002,
862,El Salvador,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,2002,10.00228977
863,Equatorial Guinea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,High income: nonOECD,2002,
864,Eritrea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,10.51490021
865,Estonia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,19.45395088
866,Ethiopia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,
867,Fiji,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,2002,
868,Finland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,17.20850945
869,France,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,17.69547081
870,"Gambia, The",Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,5.842140198
871,Georgia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,2002,
872,Germany,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,
873,Ghana,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2002,
874,Guatemala,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,2002,7.681350231
875,Guinea,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,
876,Guyana,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Lower middle income,2002,
877,"Hong Kong SAR, China",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,2002,12.62230968
878,Hungary,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Upper middle income,2002,19.94964981
879,Iceland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,24.56645012
880,India,Government expenditure per primary student as % of GDP per capita (%),South Asia,Lower middle income,2002,
881,Indonesia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2002,
882,"Iran, Islamic Rep.",Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,2002,10.34850979
883,Ireland,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,11.77480984
884,Israel,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: OECD,2002,22.44551086
885,Italy,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,23.48251915
886,Jamaica,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2002,
887,Japan,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,2002,21.39928055
888,Jordan,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Upper middle income,2002,13.48558044
889,Kenya,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,
890,Kiribati,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2002,
891,"Korea, Rep.",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: OECD,2002,14.78532028
892,Kuwait,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,2002,16.4605999
893,Lao PDR,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2002,8.208470345
894,Latvia,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2002,21.30410004
895,Lesotho,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2002,
896,Liechtenstein,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2002,
897,Lithuania,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2002,
898,Luxembourg,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: OECD,2002,
899,"Macao SAR, China",Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,High income: nonOECD,2002,6.313799858
900,Madagascar,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,
901,Malawi,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,
902,Malaysia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Upper middle income,2002,19.36800003
903,Maldives,Government expenditure per primary student as % of GDP per capita (%),South Asia,Upper middle income,2002,
904,Mali,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,
905,Malta,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,High income: nonOECD,2002,11.85955048
906,Mauritania,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Lower middle income,2002,
907,Mauritius,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,2002,8.584369659
908,Mexico,Government expenditure per primary student as % of GDP per capita (%),Latin America & Caribbean,Upper middle income,2002,12.80455971
909,Moldova,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,Lower middle income,2002,
910,Monaco,Government expenditure per primary student as % of GDP per capita (%),Europe & Central Asia,High income: nonOECD,2002,
911,Mongolia,Government expenditure per primary student as % of GDP per capita (%),East Asia & Pacific,Lower middle income,2002,
912,Morocco,Government expenditure per primary student as % of GDP per capita (%),Middle East & North Africa,Lower middle income,2002,16.37380981
913,Mozambique,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Low income,2002,
914,Namibia,Government expenditure per primary student as % of GDP per capita (%),Sub-Saharan Africa,Upper middle income,2002,19.72764969
